username;date;retweets;text;hashtags;id
mdapsu78;2016-06-28 15:40;0;"@srgc_supt @BASFTurf_us same here. Apply first week of sept. No fungicides until snow mold . Clean as a whistle and our fall DS can be nasty";;"747786766338383872"
RosePestTweets;2016-06-27 00:03;2;"#SpiderWebs , Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why #lincolnpark http:// hubs.ly/H03rf-q0 pic.twitter.com/om8yh0u7Uh";#SpiderWebs #lincolnpark;"747188467923300353"
WJK184;2016-06-26 22:25;2;"@TurfDiseases pink snow mold pic.twitter.com/7sacsQsJ8P";;"747163924840189952"
NatureMuseum;2016-06-24 16:45;1;"Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// buff.ly/28TJhwV pic.twitter.com/H0eh9Gk227";;"746353509554085888"
dnainfo_breen;2016-06-24 16:14;0;"Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// dnain.fo/28Rl04i pic.twitter.com/hDL86erQ7R";;"746345824569991168"
dnainfo_breen;2016-06-24 15:34;6;"Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// dnain.fo/28Rl04i pic.twitter.com/hDL86erQ7R";;"746335741920317441"
CosbyChicago;2016-06-24 13:45;0;"Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// ift.tt/293rxe0";;"746308236639363072"
BurtFuji;2016-06-24 13:30;0;"Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// fb.me/50Nw3WiMV";;"746304448033660928"
BurtFuji;2016-06-24 13:30;0;"Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// dlvr.it/LdtwJj pic.twitter.com/wqsvcXSPTA";;"746304403926179840"
roscoe_village;2016-06-24 13:30;0;"Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why: Wednesday's rain led to perfect… http:// m.tbnn.it/LdtwNk";;"746304402936344578"
BucktownGuide;2016-06-24 13:20;0;"Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// ift.tt/293rxe0 #Bucktown #Chicago";#Bucktown #Chicago;"746301931686076416"
lizzieschiffman;2016-06-23 15:22;0;"@dnainfo_breen @NatureMuseum @NatureNews @nature_org @nature @MotherNatureNet or snow mold ? https://www. dnainfo.com/chicago/201503 19/lincoln-square/have-spider-webs-taken-over-citys-lawns-no-its-snow-mold …";;"745970179138555904"
mcbeath_scott;2016-06-13 04:17;0;"@Harrimanscash @turfnet @davissongolf will it do the same for my pink snow mold on greens?";;"742179136911769601"
Superin10dent;2016-06-08 16:49;2;"It's not every day that you see Waitea and pink snow mold kicking it side by side...then again, this is Michigan! pic.twitter.com/R7ZWtXWFJM";;"740556449466748928"
RedIronTurf;2016-06-07 03:00;0;"@timfleegel yep. He's contemplating snow mold app for next weekend";;"739985324516900868"
EricStrzepek;2016-06-04 15:51;0;"@22Crowther see a ton of red thread and pink snow mold on rough. Waiting for course to get going ...still";;"739092289436389376"
states_great;2016-06-02 13:24;0;"Pink snow mold out this morning. pic.twitter.com/3rwf1o754T";;"738330565942857729"
N1TRZ;2016-05-31 17:42;0;"yes virgina there really is snow mold https://www. greenviewfertilizer.com/articles/snow- mold-damage-recovery …";;"737670695707021315"
microfungirl;2016-05-25 18:58;0;"A.M.Tronsmo discusses importance of resistance to snow mold independent of cold hardening for warming world #pmac16 pic.twitter.com/AK1UmsYDUh";#pmac16;"735515352902172672"
uwpaul;2016-05-20 03:52;1;"I'm biased but I don't think any turf disease gives better contrast between healthy and obliterated then snow mold https:// twitter.com/scottshanksbru 1/status/733444462509215745 …";;"733475481228574720"
SpringerJP_LS;2016-05-19 07:38;0;"NewBook Snow Mold : The Battle Under Snow Between Fungal Pathogens and Their Plant Hosts http://www. springer.com/book/978981100 7576 … pic.twitter.com/UNjmOntB2a";;"733170054359961600"
EurekaMag;2016-05-19 01:31;0;"#EurekaMag A cold inducible multidomain cystatin from winter wheat inhibits growth of the snow mold fungus,… http:// dlvr.it/LLW45F";#EurekaMag;"733077493708529664"
SpringerPlants;2016-05-18 16:47;3;"Congratulations to Dr. Matsumoto & Dr. Hsiang for their new book on Snow Mold ! http://www. springer.com/gp/book/978981 1007576 … pic.twitter.com/MjWiTXqmS9";;"732945769196589057"
Turfguy00;2016-05-16 12:51;0;"@HarryLigule @jeffwcc1_jeff loading up snow mold spray";;"732161428640137216"
ebookshare;2016-05-14 13:15;0;"Snow Mold http:// goo.gl/fb/dzRTF5";;"731442694157783040"
eleveeturf;2016-05-13 02:12;0;"@rjbuckwheat had some yellow patch and pink snow mold last week. Love it";;"730913692607512577"
rjbuckwheat;2016-05-12 21:02;7;"Run on pink snow mold this week! #Microdochium #mowedintherain #streaksofdeath pic.twitter.com/oieANYxEZM";#Microdochium #mowedintherain #streaksofdeath;"730835579638849536"
GrassRootsTurf;2016-05-12 11:00;0;"Rich Buckley, Rutgers Plant Diagnostic Lab identifying Pink Snow Mold from a golf course in Morris County, NJ as... http:// fb.me/3AZRN9o1M";;"730684165775982595"
turfdoug;2016-05-11 11:44;0;"I love when we have a frost delay, isn't it May? And last week I saw snow mold , so confused";;"730332705859227648"
Stone_BearTurf;2016-05-10 21:12;0;"Slit seeding and composting winterkill areas.. Desiccation on the mounds and snow mold in the low areas.. Extremes!! pic.twitter.com/OqhGtOAcmC";;"730113408306053120"
TurfRepublic;2016-05-10 02:00;0;"Snow mold fungicide persistence. http:// bit.ly/26tASE6 @uwpaul @TurfDiseases";;"729823497443282944"
TurfRepublic;2016-05-09 18:00;0;"What's the deal with snow mold fungicide? http:// bit.ly/26tASE6 @uwpaul @TurfDiseases";;"729702611071422465"
TurfRepublic;2016-05-09 14:00;1;"Snow mold fungicide persistence. @TurfDiseases http:// bit.ly/26tASE6 @uwpaul";;"729642197449113600"
RogerCookTOH;2016-05-08 00:46;0;"@ericmbuck hard to tell not being there guess would be a low spot where water gathered froze and killed grass or snow mold disease";;"729080065909231616"
kerrchap;2016-05-07 02:35;0;"@Zak_Bagans @Zak_Bagans oak tree season followed by grass ragweed snow mold and repeat LOL";;"728745034108047361"
jngarc;2016-05-06 12:09;2;"@UCONNturfpath @AtlanticGandT @turfnet multiple calls about active pink snow mold yesterday. #whatmonthisit ?";#whatmonthisit;"728527193756684288"
LawnGardenHelp;2016-05-05 14:20;0;"Grub damage would show up in the fall, @patrickdavidh . Due to the time of year, it may be snow mold . http:// scotts.io/6016BWwSr";;"728197772265050112"
UsefulOutdoor;2016-05-05 05:30;0;"Drinking water from snow: Mold into a ball then wrap in a bandana. Heat the snowball &catch the dripping water for drinking. #outdoor";#outdoor;"728064204624777216"
ClCahalane;2016-05-04 18:27;0;"Same products on greens and aprons but aprons are smoked with snow mold pic.twitter.com/cIA3rVcUt8";;"727897465005867008"
Chris_Hedberg;2016-05-04 16:21;0;"You know it's tough on winter recovery when you still have active snow mold / fusarium in May. Lots of spring snow. pic.twitter.com/8uKURvyCvo";;"727865775105564672"
TurfRepublic;2016-05-04 03:00;0;"Record warmth across the Midwest, ignited a debate about whether to reapply snow mold fungicides. http:// bit.ly/26tASE6 @TurfDiseases";;"727664245161263104"
TurfRepublic;2016-05-03 23:01;0;"Snow mold fungicide persistence. @uwpaul http:// bit.ly/26tASE6 @TurfDiseases";;"727603900979793925"
BayerG11;2016-05-03 15:15;2;"Snow Mold Fungicide Persistence…Part 2: http://www. turfdiseases.org/northcentral/s now-mold-fungicide-persistencepart-2/ …";;"727486820963880960"
TurfRepublic;2016-05-03 15:00;0;"Record warmth across the upper Midwest, ignited a debate about whether to reapply snow mold fungicides. @uwpaul http:// bit.ly/26tASE6";;"727482991841259520"
Tyson_Lenz;2016-05-01 18:03;0;"@akaNanette ugh. Allergies are the worst. Thankfully I am past my allergy season. Snow mold is my kryptonite";;"726804317479411712"
RealSnarkLake;2016-04-28 19:59;0;"I'm thinking of making a Tifo to raise awareness of snow mold . Makes as much sense as pro/rel week";;"725746385098706944"
Chris_Hedberg;2016-04-28 18:53;0;"Our snow mold control plot is still struggling to fill in. Weather hasn't cooperated much to help these areas. pic.twitter.com/Qj2Kux7y79";;"725729581861212161"
TurfRepublic;2016-04-28 04:00;1;"Most snow mold fungicide applications made in November were completely gone from the turf system by the end of 2015. http:// bit.ly/26tASE6";;"725504943805894656"
TurfRepublic;2016-04-28 00:00;3;"We hope to learn more about the persistence of snow mold fungicides. @uwpaul http:// bit.ly/26tASE6 @TurfDiseases";;"725444562739728384"
SprayerDepot;2016-04-27 22:48;0;"Snow Mold Fungicide Persistence…Part 2 http:// hubs.ly/H02Q06y0 by @uwpaul pic.twitter.com/gXMSahcSqB";;"725426361922404354"
GreenerGrassOLC;2016-04-27 21:15;0;"Snow Mold is an unsightly damage to your #lawn . Learn how to treat these problem areas: http:// bit.ly/1q5R25Q pic.twitter.com/zvFjHdDzCN";#lawn;"725402905822416897"
TurfRepublic;2016-04-27 20:00;1;"Last December there were questions about reapplying snow mold fungicides. Here's the verdict from @uwpaul http:// bit.ly/26tASE6";;"725384260903952384"
IainCPatterson;2016-04-27 12:18;0;"Today's weather is a mix between hail and snow @Mold , Flintshire https://www. instagram.com/p/BEszh4QRgdfM 4R8uqnPLvZpq2zkip1MpIkI01c0/ …";;"725267923686805504"
golfthepines;2016-04-26 21:43;1;"Southern Pines - InTheCageBlogger talks about Pink Snow Mold http://www. golfsouthernpines.ca/#!Southern-Pin es-InTheCageBlogger-talks-about-Pink-Snow-Mold/c21nj/571fc0440cf232b075cf0e57 …";#;"725047632498974723"
uwpaul;2016-04-26 15:18;0;"My latest blog post harkens back to what happened to our snow mold fungicides last December https:// twitter.com/turfdiseases/s tatus/724905738368339968 …";;"724950857326845952"
TurfDiseases;2016-04-26 12:19;2;"Snow Mold Fungicide Persistence…Part 2 http:// bit.ly/1MVokPB";;"724905738368339968"
iTweetTurf;2016-04-26 12:19;0;"RT @TurfDiseases Snow Mold Fungicide Persistence…Part 2 http:// bit.ly/1MVokPB";;"724905734845153280"
uwpaul;2016-04-25 15:26;8;"Final 2015-2016 Snow Mold Reports & Pics are now posted online! http:// bit.ly/1TsH4VD @MarquetteGolf pic.twitter.com/ZpV57z1XVM";;"724590477346017280"
business_supser;2016-04-24 01:31;0;"#QualityCare Snow Mold . Read Blog: http:// owler.us/abdMVo";#QualityCare;"724017860012449793"
czugel;2016-04-22 21:59;0;"@uwpaul I figured you were stuck in snow mold somewhere! I'll save you a tee time!";;"723602043672227840"
snowbringer;2016-04-22 20:28;0;"@bjw_draw Normally, I am an autumn allergy girl, but this year has been awful with snow mold and now ALL THE FLOWERS at one time. :P";;"723579193175339008"
UsefulOutdoor;2016-04-21 03:35;0;"Drinking water from snow: Mold into a ball then wrap in a bandana. Heat the snowball &catch the dripping water for drinking. #outdoor";#outdoor;"722961849902350336"
yvalaresistance;2016-04-21 00:11;0;"Sitting here like "why do I feel like shit", I go outside and there's white fuzz all over my yard where the snow melted. FUCK SNOW MOLD .";;"722910492713332737"
uHallgrass;2016-04-19 22:55;0;"Red thread, snow mold ? Northern Ohio on rye/blue. pic.twitter.com/Nug4qqK5pD";;"722529021792268289"
llbgolfsuper69;2016-04-19 22:41;1;"F9 greens uncovered & double cut including collars. Same for B9 tomorrow. Some snow mold but otherwise good #LLBGC pic.twitter.com/fbDA72gOna";#LLBGC;"722525519699292160"
Time_Hound;2016-04-17 23:31;0;"@FDolarhydesGirl Or alergies.... like to snow mold ... or pollen.";;"721813367841624064"
yvalaresistance;2016-04-17 21:50;0;"@mariaDadd my allergies are brutal from the snow mold rn, the rain is very welcome.";;"721788059671519232"
plant_biology;2016-04-16 15:03;0;"The cold-induced defensin TAD1 confers resistance against snow mold and Fusarium head blight in transgenic wheat. http:// dlvr.it/L4KlpG";;"721323165205434369"
wheat_papers;2016-04-16 14:12;0;"The cold-induced defensin TAD1 confers resistance against snow mold and Fusarium head… http:// dlvr.it/L4Jv1D pic.twitter.com/eJC1cXq57W";;"721310313270759430"
MySnowBot;2016-04-16 02:07;0;"Sat 16th Apr 00:07 - It is #Snowing in Mold, United Kingdom - #Snow #Mold #MySnowBot #Weather #MyWeather";#Snowing #Snow #Mold #MySnowBot #Weather #MyWeather;"721127799579279360"
leahmcbee;2016-04-15 21:18;0;"@TrinaMLee Thanks, you too! It's all the rain were having.. Much like your snow mold ..";;"721055156079566848"
eissyrc;2016-04-15 18:57;0;"@arundeepyeg I blame my allergies on snow mold .";;"721019706518286336"
AvanDiggity;2016-04-15 18:41;3;"@SyngentaTurf is cooking up some great snow mold mixtures. 150d cover on bluegrass frwy #staytuned pic.twitter.com/hORaz7nkcE";#staytuned;"721015644972421120"
Renzou;2016-04-15 18:23;0;"@schommer75 Bare spots only. Attempting to fix the snow mold areas and the spots where the sod is dying against the house.";;"721011160212897792"
3D_Fishing_;2016-04-14 19:59;0;"Pink Snow Mold - Chippers' Mr Grass Blog http:// fb.me/4kXWpNWby";;"720672909832929280"
troyal88;2016-04-14 18:22;0;"@ErinAtlas Snow mold preventer worked like a charm";;"720648375289430016"
FordsPestTurf;2016-04-14 15:42;0;"Your Lawn Has Snow Mold : Symptoms: Damage from snow mold fungi usually becomes apparent as the snow melts and ... http:// bit.ly/1qUCaYs";;"720608165566369794"
judywilson36;2016-04-14 14:31;0;"@CBCMarcy @patkaniuga @TrevorCBC Yup. Just enough to wake the grass up and shake the snow mold off";;"720590184727752705"
chipperschatter;2016-04-14 02:49;0;"Pink Snow Mold - Chippers' Mr Grass Blog http:// fb.me/4ozyiNoWI";;"720413662578475008"
cjcj15cj;2016-04-13 17:12;2;"Nice outbreak of Pink Snow Mold on this Poa/Bent green #SoCal #TurfgrassDiseases pic.twitter.com/wnPzCRN6vN";#SoCal #TurfgrassDiseases;"720268496064503808"
MrGrassNHVT;2016-04-13 15:59;0;"Pink Snow Mold https:// lnkd.in/bM7k_8k";;"720250091404038148"
MrGrassNHVT;2016-04-13 15:59;0;"#Snow Mold in your #lawn this #spring - http://www. mrgrassblog.net/pink-snow-mold/";#Snow #lawn #spring;"720250045958905856"
TheWeatherNetUS;2016-04-12 20:58;2;"Feeling sniffly? It could be due to snow mold . Find out what experts have to say: http:// bit.ly/1qOeu8m pic.twitter.com/iOI3s66noz";;"719962800408420352"
PenderSuper;2016-04-12 19:19;0;"@paceturf @djsoldat @asianturfgrass snow mold Nd anthracnose happen at diff times of yr? GP gets fert amount right at right time";;"719937901232914432"
paceturf;2016-04-12 19:17;0;"@djsoldat @asianturfgrass Low tissue K limits snow mold in bent and high tissue K limits anthracnose in poa. Implementation needs more work.";;"719937600186810368"
c4d0c8574b3a4ee;2016-04-12 18:33;0;"@weathernetwork snow mold ,so thats y I'm sick. I Feel better now knowing what I got .Thanks mister freeze.";;"719926398790541312"
weathernetwork;2016-04-12 18:02;47;"Feeling sneezy and stuffy lately? It could be because of a fungus known as snow mold http:// ow.ly/10zZIy pic.twitter.com/aksXM4FnBB";;"719918499699814400"
paceturf;2016-04-12 16:46;0;"@djsoldat @asianturfgrass In this case soil K might never drop to levels needed to slow snow mold . Tissue K only needed when soil K is low.";;"719899404535083013"
djsoldat;2016-04-12 16:40;0;"@paceturf @asianturfgrass Point here is that can have good quality at 1.5% but then anthracnose risk. Good quality at 2% but snow mold risk.";;"719897862318854144"
djsoldat;2016-04-12 04:25;0;"@paceturf I agree for the most part but my K work shows that tissue testing is much more predictive of snow mold than soil testing for K";;"719713081488572416"
SoCalTurfScoop;2016-04-11 20:33;3;"With this cool wet weather BRP and pink snow mold have been making an appearance. #instrata pic.twitter.com/LfLHGLNzDI";#instrata;"719594309972992002"
uwpaul;2016-04-11 16:39;1;"WI Snow Mold Field Day (4/13) is canceled...due to snow. Lots of snow. For @MarquetteGolf sake I hope it melts soon pic.twitter.com/kNgKSrY2U6";;"719535374045954048"
Lifeworxgreen;2016-04-11 01:04;0;"Got the sniffles? It could be snow mold via @rightrelevance http:// buff.ly/1qBHL62 pic.twitter.com/JVpIqSkXA0";;"719300006583382017"
LucyGirll;2016-04-10 22:21;0;"@Bugahabart @AsianJoeEvans so my guess is you'll have some groovy snow mold this spring for a job you should've done in the fall.";;"719258963351445504"
noerbruce;2016-04-10 19:29;0;"@MarquetteGolf can we use that plow to clean snow mold plot for Snow Mold Fields this week.";;"719215667354996740"
JenniferKingsb6;2016-04-08 23:12;0;"Got the sniffles? It could be snow mold http://www. theweathernetwork.com/news/articles/ feeling-sniffly-it-could-be-due-to-snow-mold/47129 …";;"718547101198594048"
CielOnTap;2016-04-08 22:27;0;"Got the sniffles? It could be due to snow mold http://www. theweathernetwork.com/news/articles/ feeling-sniffly-it-could-be-due-to-snow-mold/47129 …";;"718535662698373120"
nessiedood;2016-04-08 22:24;0;"Snow mold ........... http:// fb.me/735iLh4BX";;"718534910886211585"
WeedManBarrie;2016-04-08 21:47;0;"Snow Mold , its a real thing. http:// bit.ly/1SFbXDz https:// twitter.com/weathernetwork /status/718524436782182404 …";;"718525764451319808"
weathernetwork;2016-04-08 21:42;12;"Feeling sniffly? It could be due to snow mold : http:// bit.ly/1SVn65N pic.twitter.com/GaZiPW5abX";;"718524436782182404"
SpitzPhillip;2016-04-07 00:52;0;"Difficult to assess snow mold treatments in these conditions pic.twitter.com/ltLvIMgd9v";;"717847554680033284"
uwpaul;2016-04-06 03:46;0;"@maria_turfdr awesome, love going up there! And the snow mold is incredible!";;"717528911324643328"
uwpaul;2016-04-05 22:00;9;"Wisconsin's Snow Mold Field Day is 4/13 in Marquette, MI. Plenty of disease for everyone http:// bit.ly/25Jrz2h pic.twitter.com/9Z4QYi3SMK";;"717441816992346112"
canyakker;2016-04-05 16:40;0;"@ElfNDragon OK, the correct name is snow mold https://www. google.ca/search?q=snow+ mold&client=opera&hs=n2o&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiUs4j13PfLAhVjnoMKHeWnCXUQ_AUIBygB&biw=1366&bih=633 …";;"717361281167147008"
Ginnnnyyyy;2016-04-05 06:45;0;"Oiii. Snow mold ... go love yourself.";;"717211524650164224"
sexdrugsfolk;2016-04-05 03:20;0;"snow mold all over the pot for my healthy blooming orchid as per tradition";;"717160064960729088"
P_T_R_C_;2016-04-04 22:17;4;"Rating our snow mold trial. 130+ days snow cover. Mostly Typhula, some Microdochium. @PineHillsTurf pic.twitter.com/tprM0Ctv9A";;"717083645312311296"
OldStationInc;2016-04-04 19:45;0;"Thought this would be appropriate today. Did you know that snow mold may appear even if it does not snow. If the... http:// fb.me/7ShSXUBjA";;"717045342731177984"
drjeffsandquist;2016-04-04 18:03;0;"@pjrvs snow mold /spring have been kicking my ass off & on here in MN too. Damn hyperactive immune system--if it's not food it's nature.";;"717019671023648770"
JK_Turfgrass;2016-04-04 17:38;0;"@UMassTurfPath 3 AI's to control snow mold . pic.twitter.com/D7mbrOqeBm";;"717013562321977344"
JK_Turfgrass;2016-04-04 17:19;0;"UMass Snow Mold seminar at Turning Stone. Great information in a year with little snow cover. #snowmold pic.twitter.com/ebiF4SzqUv";#snowmold;"717008748569620480"
UMassGardenClip;2016-04-04 15:50;0;"Rake lightly to promote lawn recovery from snow mold and vole damage. Sun sets 7:17; rises tomorrow 6:22.";;"716986328123105280"
colly22mac;2016-04-03 02:37;0;"Can't wait for the spring winds to blow all the snow mold and winter… https://www. instagram.com/p/BDt96KvsupRG lqpf5lmF3uLYczBq6j6gxLbeeo0/ …";;"716424284508463105"
CoryLCowan;2016-04-02 06:11;0;"@YoyoCrochet looks like snow mold to me.";;"716115918288330752"
rmooney_mooney;2016-04-01 19:22;3;"Fungicides control snow mold ! 5 months snow cover. #treated Turfgrass 101 Green is G Good brown is Bad !! pic.twitter.com/sgKhgiiiG8";#treated;"715952399114838017"
rmooney_mooney;2016-04-01 04:15;1;"Maybe snow contributes to snow mold . 5 months of snow cover no frost in the ground. #Untreated grey beats pink? pic.twitter.com/W9PxK6m5AN";#Untreated;"715724211264749569"
uwpaul;2016-03-31 20:12;4;"Dodged snow, rain, fog, deer, and aggressive bar patrons...but snow mold ratings are done for another year pic.twitter.com/5XSfxcGGFf";;"715602578424406016"
uwpaul;2016-03-31 19:56;0;"Spooky snow mold rating @BruceTdlbruce @kurtaculous @uwbrijesh https:// twitter.com/marquettegolf/ status/715511389880713218 …";;"715598737133932547"
Superin10dent;2016-03-31 17:56;6;"Got snow mold ? This is for all the @MiGCSA members who couldn't attend today's Snow Mold Trials at Treetops Resort. http:// on.bubb.li/384286a8xlj778 6nnkt5vsb …";;"715568377792737280"
UMassTurfPath;2016-03-31 16:44;0;"Last day to register for the New York Snow Mold Field Day! Check out the flyer for details. pic.twitter.com/HQDoU8CWHF";;"715550235213316100"
Anns_Life;2016-03-31 14:58;0;"How to Repair Grass Damaged by Snow Mold http:// dlvr.it/Kx6y5C #gardening #gardenchat pic.twitter.com/w0m469rzTX";#gardening #gardenchat;"715523719171444736"
CurtisHarrish;2016-03-31 03:08;0;"@sarafinchan1 just getting the snow mold off the steering arm!";;"715345000502919168"
adolick;2016-03-31 00:30;0;"A little end-of-the-tank art last fall in our worst snow mold rough. pic.twitter.com/AZoXCbffSK";;"715305161514680320"
uwpaul;2016-03-30 23:58;6;"Now that's the kind of snow mold we've been waiting to see pic.twitter.com/nPQ1ITTASx";;"715297157532762112"
uwpaul;2016-03-30 23:04;1;"Killed my first mosquito of the year yesterday...in Wausau, WI...while rating snow mold . That's weird.";;"715283568235311105"
h_holmes8;2016-03-30 19:01;0;"Allergies and snow mold got me feeling like.... http:// ift.tt/25wI7L0 pic.twitter.com/OQpfayEHcu";;"715222551274921985"
christysphone78;2016-03-30 03:02;0;"Stuffed up from the dust and snow mold , how r u? #codieprevost https:// twitter.com/codieprevost/s tatus/714980899725520896 …";#codieprevost;"714981124565381120"
Anns_Life;2016-03-29 22:58;0;"How to Repair Grass Damaged by Snow Mold http:// dlvr.it/KwJjNY #gardening #gardenchat pic.twitter.com/Ueyv6lcrg1";#gardening #gardenchat;"714919705455104000"
MSUAdam;2016-03-29 19:25;0;"#TyphulaTuesday join Dr. Vargas at Treetops this Thursday at 10am for Snow Mold field day. Please RSVP.";#TyphulaTuesday;"714866002257977344"
BriHuether;2016-03-29 18:36;0;"Apparently my allergies are back. If it could rain, and clean up all the snow mold , that would be great. Any day now, I'd be happy for rain.";;"714853824251363328"
OttSamuel18;2016-03-29 13:11;0;"When the snow mold hit you.";;"714772061768396800"
InGaylord;2016-03-29 12:57;0;"Snow mold field day at Treetops Golf Course: We will plan to meet at 10 a.m. at the pro shop at the Treetops/S... http:// bit.ly/22Kdi6z";;"714768406176731138"
thegolfersnews;2016-03-29 08:15;0;"Snow mold field day at Treetops Golf Course http:// thegolfersnews.com/?p=5882";;"714697382462623745"
